kecamata,year,month,NDVI,NDWI,elevation,slope,kepadatan,rainfall,TEXTURE_USDA,DRAINAGE,AWC,GFI,cluster,cluster_sil
Panyileukan,2022,1,0.218312154,-0.212995762,676.2061013,1.999909341,8043,59.5,5,1,163.0,2.451522709,1,0
Cinambo,2022,1,0.227671601,-0.224411897,676.3132038,2.013278454,7019,59.5,5,1,163.0,2.596060012,2,0
Ujungberung,2022,1,0.230441709,-0.241432697,744.0672204,6.691497491,14294,59.5,5,3,155.0,1.26793346,2,0
Gedebage,2022,1,0.22046889,-0.207537343,665.1202848,1.068353522,4441,59.5,5,2,163.0,3.507374544,2,0
Mandalajati,2022,1,0.281411889,-0.289581754,730.6353977,7.245588901,11188,59.5,5,1,162.5573123,0.801084806,2,0
Coblong,2022,1,0.235052587,-0.248672155,784.0885513,6.116696021,15786,59.5,5,3,155.0,0.698000447,2,0
Babakan Ciparay,2022,1,0.136449067,-0.162369845,689.1033356,1.914559739,19439,59.5,5,1,162.3065835,1.902719225,1,0
Sukasari,2022,1,0.271507639,-0.285086669,881.3943057,4.900048569,12419,59.5,5,3,155.0,0.198286868,2,0
Cicendo,2022,1,0.199141318,-0.224309722,738.8740769,2.863867129,14091,59.5,5,2,158.3185753,1.865312507,2,0
Sukajadi,2022,1,0.182558909,-0.208805971,775.7825143,4.032984661,24093,59.5,5,3,155.0,1.385216523,2,0
Bojongloa Kaler,2022,1,0.089087768,-0.131886632,700.0348398,1.990692884,41281,59.5,5,1,162.9882745,1.88170844,1,0
Andir,2022,1,0.162584028,-0.20670976,726.0421423,2.325952286,26705,59.5,5,1,161.6402883,1.861181498,1,0
Cidadap,2022,1,0.374357681,-0.353198772,891.4066614,10.61846979,8988,59.5,5,3,155.0,0.61148618,2,1
Bandung Wetan,2022,1,0.210484727,-0.225833223,724.5543936,3.765866518,8537,59.5,5,3,156.1146189,1.514404466,2,0
Astana Anyar,2022,1,0.129866877,-0.173555523,695.6802372,2.135307616,25399,59.5,5,1,163.0,3.165426102,1,0
Lengkong,2022,1,0.160704945,-0.199307742,689.3803818,2.119958366,12064,59.5,5,1,161.9383042,2.281639281,1,0
Cibeunying Kidul,2022,1,0.162026725,-0.203443927,706.0380102,3.178331003,21735,59.5,5,2,159.1688711,2.546847523,1,0
Regol,2022,1,0.139820642,-0.158998094,688.9671317,2.237785641,18843,59.5,5,1,163.0,2.25671352,1,0
Batununggal,2022,1,0.169760005,-0.201848243,685.9084183,2.227793946,24230,59.5,5,1,162.8969978,3.150846688,1,0
Bojongloa Kidul,2022,1,0.094463847,-0.104545956,681.6153792,2.036778943,14150,59.5,5,1,162.1282841,2.49477235,1,0
Cibeunying Kaler,2022,1,0.205571467,-0.219170075,751.8594681,5.307763192,15817,59.5,5,3,155.0107456,1.144879944,2,0
Bandung Kulon,2022,1,0.144057298,-0.180617869,697.3418989,1.934010508,21235,59.5,5,1,163.0,2.249385761,1,0
Kiaracondong,2022,1,0.181997143,-0.208971325,683.5589248,2.092904293,21517,59.5,5,1,162.7993846,2.785807711,1,0
Sumur Bandung,2022,1,0.170907123,-0.19480885,708.1226705,3.45149773,11451,59.5,5,2,158.9264258,1.736807225,2,0
Antapani,2022,1,0.158017849,-0.20143759,681.8471192,1.499127962,21396,59.5,5,1,162.7975068,3.310198187,1,0
Bandung Kidul,2022,1,0.241541324,-0.248030872,673.9305069,1.990096966,10199,59.5,5,1,163.0,2.842583167,1,0
Arcamanik,2022,1,0.240543729,-0.260314475,679.9746058,1.818508368,13814,59.5,5,1,162.8890335,2.812108317,1,0
Cibiru,2022,1,0.247801477,-0.237908995,785.35146,7.465623757,12145,59.5,5,3,155.0,0.342744574,2,0
Buahbatu,2022,1,0.189662693,-0.207010583,672.589028,1.602151276,13282,59.5,5,1,163.0,2.972142212,1,0
Rancasari,2022,1,0.178066558,-0.185282455,668.239889,1.309723213,11910,59.5,5,1,163.0,3.152664359,1,0
Rancabali,2022,1,0.682237384,-0.591914502,1547.445406,16.43354319,346,59.5,6,3,121.2520915,-0.296879501,3,1
Kutawaringin,2022,1,0.638143019,-0.58091081,820.8765728,15.10492506,2194,59.5,5,3,155.8253243,0.23853883,3,1
Cangkuang,2022,1,0.361722101,-0.325364421,804.5197597,10.22103605,3303,59.5,5,3,159.3623188,0.79796976,2,1
Cimenyan,2022,1,0.388673456,-0.351586064,1058.769664,16.23277584,2178,59.5,5,3,155.1276662,-0.255179572,3,1
Cilengkrang,2022,1,0.410857968,-0.363583638,1267.992707,18.34791468,1894,59.5,5,3,155.660599,-0.664309804,3,1
Cileunyi,2022,1,0.229518694,-0.202988377,776.1531196,6.515332993,5988,59.5,5,2,159.3735294,1.625476147,2,0
Bojongsoang,2022,1,0.161813518,-0.141047148,662.4780609,1.035662016,4086,59.5,5,2,162.631412,3.790968509,1,0
Margahayu,2022,1,0.27715962,-0.290206737,665.8208893,2.194574958,11539,59.5,5,2,159.3303352,3.157977982,2,0
Cimaung,2022,1,0.50646305,-0.454561014,1221.676512,16.68690433,1589,59.5,5,3,162.0,-0.36656558,3,1
Pangalengan,2022,1,0.50916711,-0.437118787,1543.804092,15.21209008,797,59.5,6,3,126.6266303,-0.131864104,3,1
Arjasari,2022,1,0.491490086,-0.438961046,979.3344179,13.42380568,1648,59.5,5,3,159.0151506,0.137084124,3,1
Margaasih,2022,1,0.305986576,-0.30941011,681.4573232,3.861005696,8175,59.5,5,2,162.9259882,2.112364882,2,0
Banjaran,2022,1,0.502985651,-0.459266375,948.4412612,11.16871853,3122,59.5,5,3,160.4325031,0.505964598,3,1
Pameungpeuk,2022,1,0.419718863,-0.412709169,673.561656,3.690267493,5885,59.5,5,3,155.0,2.68350985,2,0
Katapang,2022,1,0.392043632,-0.394703297,665.717404,1.871496486,8440,59.5,5,3,155.0076653,2.961533707,2,0
Dayeuhkolot,2022,1,0.190816592,-0.194981489,665.4068291,2.29183804,9719,59.5,5,1,163.0,2.857472714,1,0
