UMAP1,UMAP2,cluster,kecamata,year,month
17.645403,15.521022,3,Panyileukan,2022,1
17.802877,15.473739,3,Cinambo,2022,1
5.12578,-8.05167,6,Ujungberung,2022,1
15.590754,-3.8573387,1,Gedebage,2022,1
10.48836,5.634961,4,Mandalajati,2022,1
4.895903,-8.035982,6,Coblong,2022,1
13.012216,11.15554,3,Babakan Ciparay,2022,1
3.9350405,-7.5088553,6,Sukasari,2022,1
19.158424,-0.656007,1,Cicendo,2022,1
7.7633276,-7.818581,6,Sukajadi,2022,1
7.6861215,11.895574,7,Bojongloa Kaler,2022,1
18.300995,7.8312316,3,Andir,2022,1
0.03109779,-4.6433234,2,Cidadap,2022,1
6.153267,-1.3090214,4,Bandung Wetan,2022,1
12.995938,8.277798,3,Astana Anyar,2022,1
15.416329,14.293143,3,Lengkong,2022,1
20.772095,3.7973552,1,Cibeunying Kidul,2022,1
13.113584,11.04528,3,Regol,2022,1
12.585856,8.313562,3,Batununggal,2022,1
15.535685,13.619907,3,Bojongloa Kidul,2022,1
5.2273297,-7.7894354,6,Cibeunying Kaler,2022,1
12.841688,10.892101,3,Bandung Kulon,2022,1
12.119826,9.379099,3,Kiaracondong,2022,1
18.980413,-0.47623745,1,Sumur Bandung,2022,1
12.345308,8.7940645,3,Antapani,2022,1
17.52815,16.040535,3,Bandung Kidul,2022,1
15.914761,15.931018,3,Arcamanik,2022,1
4.266176,-7.935953,6,Cibiru,2022,1
16.34052,15.477227,3,Buahbatu,2022,1
16.714813,15.494699,3,Rancasari,2022,1
-7.512604,9.300132,5,Rancabali,2022,1
-4.4510756,-0.4604957,2,Kutawaringin,2022,1
-0.4358433,-3.6135237,2,Cangkuang,2022,1
-1.1956108,-0.09813146,2,Cimenyan,2022,1
-1.06166,0.45018688,2,Cilengkrang,2022,1
15.371519,1.7387488,1,Cileunyi,2022,1
15.984197,-3.8134036,1,Bojongsoang,2022,1
17.903337,-2.4009564,1,Margahayu,2022,1
-1.8695722,1.2555114,2,Cimaung,2022,1
-6.7315946,9.013514,5,Pangalengan,2022,1
-2.8575137,-2.448033,2,Arjasari,2022,1
15.884751,2.7375574,1,Margaasih,2022,1
-2.7510042,-3.188199,2,Banjaran,2022,1
10.495867,-2.2798734,4,Pameungpeuk,2022,1
10.247735,-2.8101945,4,Katapang,2022,1
17.230825,15.674973,3,Dayeuhkolot,2022,1
15.043426,-4.2211504,1,Rancaekek,2022,1
-0.20205761,-3.530908,2,Ciparay,2022,1
-3.2044234,-1.8218678,2,Nagreg,2022,1
-2.4401155,-3.7637744,2,Cikancung,2022,1
-2.7549279,-3.0259368,2,Cicalengka,2022,1
-2.2677207,1.6524729,2,Ciwidey,2022,1
-1.6955897,-4.7264905,2,Soreang,2022,1
-8.031697,7.3534055,5,Pasirjambu,2022,1
1.0026584,7.023827,0,Kertasari,2022,1
13.580845,1.2325413,1,Baleendah,2022,1
3.1324084,4.8250055,0,Pacet,2022,1
-2.7033222,-2.866021,2,Paseh,2022,1
-1.0583072,2.1513414,2,Ibun,2022,1
6.448963,-0.09310725,4,Majalaya,2022,1
9.273195,-2.562626,4,Solokanjeruk,2022,1
7.8622904,8.849654,0,Padalarang,2022,1
14.232545,2.532622,1,Batujajar,2022,1
-0.6105768,-4.6007,2,Ngamprah,2022,1
6.4916725,15.368618,7,Cipatat,2022,1
3.0613928,4.4479322,0,Lembang,2022,1
5.8764954,15.439215,7,Cikalongwetan,2022,1
1.5728287,19.87653,7,Cipeundeuy,2022,1
4.027476,4.3706613,0,Parongpong,2022,1
2.4814842,10.141896,0,Cisarua,2022,1
4.126828,7.3088803,0,Cililin,2022,1
6.962082,17.2482,7,Cipongkor,2022,1
13.761461,2.5378385,1,Cihampelas,2022,1
1.8544437,14.383341,7,Gununghalu,2022,1
8.046732,8.237949,0,Saguling,2022,1
5.560693,18.360964,7,Rongga,2022,1
1.6293781,9.457532,0,Sindangkerta,2022,1
14.143762,14.1355,3,Cimahi Tengah,2022,1
3.3943584,-8.515619,6,Cimahi Utara,2022,1
20.559774,-0.04223316,1,Cimahi Selatan,2022,1
15.4514885,12.611134,3,Panyileukan,2022,2
15.587711,12.820619,3,Cinambo,2022,2
6.259332,-6.079408,6,Ujungberung,2022,2
16.626081,-3.6108708,1,Gedebage,2022,2
14.978333,11.413938,3,Mandalajati,2022,2
6.133907,-6.17648,6,Coblong,2022,2
14.49889,11.081759,3,Babakan Ciparay,2022,2
5.848912,-5.86222,6,Sukasari,2022,2
18.320902,0.430351,1,Cicendo,2022,2
7.1735415,-6.7092686,6,Sukajadi,2022,2
7.7798424,12.41394,7,Bojongloa Kaler,2022,2
17.327818,8.668463,3,Andir,2022,2
3.1563628,-3.2076333,6,Cidadap,2022,2
6.4080815,-2.6174717,4,Bandung Wetan,2022,2
13.801573,9.520701,3,Astana Anyar,2022,2
15.11441,12.31466,3,Lengkong,2022,2
19.88046,2.7808266,1,Cibeunying Kidul,2022,2
14.462623,10.926854,3,Regol,2022,2
13.843231,9.561099,3,Batununggal,2022,2
15.07621,12.381647,3,Bojongloa Kidul,2022,2
6.225136,-6.247392,6,Cibeunying Kaler,2022,2
14.353547,10.68668,3,Bandung Kulon,2022,2
13.9779415,10.01434,3,Kiaracondong,2022,2
18.157879,0.3821935,1,Sumur Bandung,2022,2
13.8688345,9.742001,3,Antapani,2022,2
15.360947,12.534501,3,Bandung Kidul,2022,2
14.955755,12.378469,3,Arcamanik,2022,2
5.9492183,-5.879689,6,Cibiru,2022,2
15.077984,12.385927,3,Buahbatu,2022,2
15.229549,12.566321,3,Rancasari,2022,2
-5.1351767,7.1650167,5,Rancabali,2022,2
2.475291,-3.0728257,2,Kutawaringin,2022,2
2.9328187,-3.2584288,2,Cangkuang,2022,2
1.2324716,0.2301833,2,Cimenyan,2022,2
1.0975516,1.2687073,2,Cilengkrang,2022,2
16.850449,0.2041511,1,Cileunyi,2022,2
16.501102,-3.6470003,1,Bojongsoang,2022,2
16.532726,-2.96953,1,Margahayu,2022,2
1.0284588,1.615757,2,Cimaung,2022,2
-5.4172287,7.2603693,5,Pangalengan,2022,2
2.217913,-2.9223094,2,Arjasari,2022,2
17.512236,0.14463024,1,Margaasih,2022,2
2.4490294,-3.2760172,2,Banjaran,2022,2
7.413536,-2.3891008,4,Pameungpeuk,2022,2
7.4970984,-2.3975391,4,Katapang,2022,2
15.485191,12.749374,3,Dayeuhkolot,2022,2
16.602272,-3.4776428,1,Rancaekek,2022,2
3.4402425,-3.1649604,6,Ciparay,2022,2
2.1192188,-2.7018697,2,Nagreg,2022,2
2.5675225,-3.241215,2,Cikancung,2022,2
2.2724745,-3.1776137,2,Cicalengka,2022,2
0.93907356,1.8267286,2,Ciwidey,2022,2
2.9007325,-3.2081156,2,Soreang,2022,2
-6.236005,6.5647764,5,Pasirjambu,2022,2
-1.1231862,7.088866,0,Kertasari,2022,2
16.69424,0.29191896,1,Baleendah,2022,2
1.187322,3.4610617,0,Pacet,2022,2
2.205787,-3.1167974,2,Paseh,2022,2
1.0866668,2.4054546,2,Ibun,2022,2
6.758255,-2.4784954,4,Majalaya,2022,2
7.719887,-2.3893807,4,Solokanjeruk,2022,2
5.6418333,9.617041,0,Padalarang,2022,2
17.09044,0.1243954,1,Batujajar,2022,2
3.1398306,-3.154483,2,Ngamprah,2022,2
2.992319,17.485891,7,Cipatat,2022,2
1.3000501,3.8700628,0,Lembang,2022,2
2.891791,17.212114,7,Cikalongwetan,2022,2
2.4644828,18.318735,7,Cipeundeuy,2022,2
1.4472547,4.1206694,0,Parongpong,2022,2
4.337118,10.203059,0,Cisarua,2022,2
5.049373,9.784581,0,Cililin,2022,2
2.8678732,16.9621,7,Cipongkor,2022,2
16.867525,0.20647943,1,Cihampelas,2022,2
2.5919695,16.616358,7,Gununghalu,2022,2
5.6105433,9.617124,0,Saguling,2022,2
2.7869678,16.920248,7,Rongga,2022,2
4.651842,10.079915,0,Sindangkerta,2022,2
14.989233,11.671437,3,Cimahi Tengah,2022,2
