kecamatan,tahun,bln_1,bln_2,bln_3,bln_4,bln_5,bln_6,bln_7,bln_8,bln_9,bln_10,bln_11,bln_12,jml_perubahan,jml_cluster_unik,stabil
Andir,2022,3,3,3,3,3,3,3,3,3,3,3,3,0,1,Ya
Andir,2023,3,3,3,3,3,3,3,3,3,3,3,3,0,1,Ya
Andir,2024,3,3,3,3,3,3,3,3,3,3,4,3,2,2,Tidak
Antapani,2022,3,3,3,3,3,3,3,3,3,3,3,3,0,1,Ya
Antapani,2023,3,3,3,3,3,3,3,3,3,3,3,3,0,1,Ya
Antapani,2024,3,3,3,3,3,3,3,3,3,3,4,3,2,2,Tidak
Arcamanik,2022,3,3,3,3,3,3,3,3,3,3,3,3,0,1,Ya
Arcamanik,2023,3,3,3,3,3,3,3,3,3,3,3,3,0,1,Ya
Arcamanik,2024,3,3,3,3,3,3,3,3,3,3,4,3,2,2,Tidak
Arjasari,2022,2,2,2,2,2,2,2,2,2,2,2,2,0,1,Ya
Arjasari,2023,2,2,2,2,2,2,2,2,2,2,2,2,0,1,Ya
Arjasari,2024,2,2,2,2,2,2,2,2,2,2,4,2,2,2,Tidak
Astana Anyar,2022,3,3,3,3,3,3,3,3,3,3,3,3,0,1,Ya
Astana Anyar,2023,3,3,3,3,3,3,3,3,3,3,3,3,0,1,Ya
Astana Anyar,2024,3,3,3,3,3,3,3,3,3,3,4,3,2,2,Tidak
Babakan Ciparay,2022,3,3,3,3,3,3,3,3,3,3,3,3,0,1,Ya
Babakan Ciparay,2023,3,3,3,3,3,3,3,3,3,3,3,3,0,1,Ya
Babakan Ciparay,2024,3,3,3,3,3,3,3,3,3,3,4,3,2,2,Tidak
Baleendah,2022,1,1,1,1,1,1,1,1,1,1,1,1,0,1,Ya
Baleendah,2023,1,1,1,1,1,1,1,1,1,1,1,1,0,1,Ya
Baleendah,2024,1,1,1,1,1,1,1,1,1,1,4,1,2,2,Tidak
Bandung Kidul,2022,3,3,3,3,3,3,3,3,3,3,3,3,0,1,Ya
Bandung Kidul,2023,3,3,3,3,3,3,3,3,3,3,3,3,0,1,Ya
Bandung Kidul,2024,3,3,3,3,3,3,3,3,3,3,4,3,2,2,Tidak
Bandung Kulon,2022,3,3,3,3,3,3,3,3,3,3,3,3,0,1,Ya
Bandung Kulon,2023,3,3,3,3,3,3,3,3,3,3,3,3,0,1,Ya
Bandung Kulon,2024,3,3,3,3,3,3,3,3,3,3,4,3,2,2,Tidak
